True Tag	Predicted Tag	Count
IN	NNP	156
NN	NN	21729
NNS	NNS	9477
VBG	VBG	1502
IN	JJ	354
,	,	9056
DT	DT	14450
IN	IN	16715
VBP	VBP	1523
VBN	VBN	2697
.	.	7035
CC	NNP	191
TO	TO	3898
VB	VB	4284
PDT	PDT	50
MD	MD	1651
IN	DT	150
VBP	IN	79
:	:	983
PRP	PRP	2769
JJ	JJ	8462
CC	CC	3847
EX	EX	168
VBZ	VBZ	3164
RB	RB	4330
RB	VB	22
JJR	JJR	395
``	``	1422
NN	JJ	848
JJ	NN	1147
VBG	NN	533
CD	CD	5337
NNS	NN	470
$	$	1138
DT	IN	34
NN	UH	28
''	''	1417
NNP	NNP	14711
VBG	JJ	365
WP	WP	392
VBD	VBD	4696
POS	POS	1638
NNS	NNP	167
VBD	VB	15
PRP$	PRP$	1402
RBR	RBR	169
RBR	JJR	104
WDT	WDT	713
WDT	DT	49
VBP	NN	201
WRB	WRB	422
VBD	VBN	773
NN	NNP	236
NNP	EX	79
RB	DT	26
CD	NNP	126
JJR	JJ	65
VBZ	POS	202
IN	NN	297
JJ	RB	205
NN	VBD	3
IN	WDT	122
PRP	DT	99
RB	NNP	74
DT	NNP	255
CC	IN	185
RB	JJ	426
NN	SYM	10
VB	NN	200
NNP	UH	115
NNS	DT	32
MD	NN	10
VBP	JJ	31
NNS	VBZ	259
VBP	VB	239
VBN	VBD	254
VBN	JJ	496
JJS	JJS	225
IN	RB	145
JJR	RB	6
WP$	WP$	47
VBD	JJ	178
VBN	VB	20
(	(	249
)	)	252
NN	VB	213
NN	VBG	31
MD	NNP	5
VB	VBP	111
VBZ	NNS	154
NNPS	NNP	172
VBZ	NNP	9
NNP	DT	191
NNP	NN	837
NNP	JJ	657
NNP	SYM	14
NN	PDT	11
VBD	DT	7
JJ	NNP	132
NNP	LS	35
VBZ	NN	16
VBZ	PDT	9
EX	RB	6
FW	FW	4
FW	NN	5
RBS	RBS	70
JJS	RBS	33
DT	JJ	5
PRP$	JJ	28
NN	.	17
RB	NN	255
NNS	LS	13
NNP	.	36
NNP	NNPS	20
IN	RBR	100
DT	RB	48
VBP	VBD	28
JJ	MD	79
CD	NN	186
VBG	PDT	28
NN	RBS	18
NNS	JJ	89
VBP	VBN	5
CC	DT	11
JJ	PRP	16
DT	WDT	60
NN	NN|JJ	3
RB	CC	13
JJ	IN	40
JJ	DT	278
WDT	WP	4
VBP	NNP	63
JJS	JJ	90
NN	DT	49
JJ	VBG	10
